Site_name,Site_id,Latitude,Longitude,Age_oldest,Age_youngest,Pollen_samples,Chronologies
AfstjCrna,26128,61.649167,9.876667,13398,−49,55,8
AkerhultagolTomtabaken,3470,57.483333,14.466667,16226,7647,43,14
Akuvaara,20,69.12326,27.67406,10647,16,34,5
AltarLough,24188,55.01806,-8.38717,13770,−1,77,5
Altenweiher,2988,48.013333,6.994444,17331,139,113,8
AmmerRiverValley,28327,48.5288888888889,8.96333333333333,10947,8088,48,12
AntuSinijarv,2979,59.0608,26.24178,12715,2396,54,9
ArtsLough,214,52.95,-6.433333,17282,191,30,5
Baika,26562,61.2684,46.75513,10409,175,33,12
BallinloghigLake,223,52.2,-10.308333,17824,1748,68,11
Ballynahattybog,26068,54.544167,-5.953056,11914,2706,75,6
BelleLake,3006,52.183333,-7.033333,14367,6179,49,8
BigholmBurn,23799,55.120278,-3.0725,11795,260,30,5
Bobrov,14471,49.44642,19.56244,12246,−50,46,13
BorheenLough,11578,52.37189,-8.1498,12340,47,40,8
BreitnauNeuhof,14542,47.92904,8.06643,13389,199,77,14
Bruchbergmoor,24181,51.7704,10.51324,10970,1231,88,15
Brurskardtjorni,13391,61.416667,8.666667,12278,0,61,6
CapeShpindler,16712,69.716667,62.8,17768,1974,38,12
Carrivmoragh,3044,54.30019,-5.98393,11669,982,59,6
Challerie,15915,47.8586111111111,1.69972222222222,13077,78,112,15
Chrast,15770,50.2591,14.57437,12125,246,32,6
ChurchMoor,28087,50.8611111111111,-1.65083333333333,10409.29,−45,136,8
ClaraBog,9633,53.31149,-7.60254,11333,−50,80,11
Cookley,28081,52.4158333333333,-2.24083333333333,10751.12,638,82,11
CooranLane,3066,55.12629,-4.39004,11552,770,33,5
CranesMoor,23794,50.827778,-1.725833,10416,6345,202,8
Cuckoo,11581,52.0025,-9.5425,13465,3223,97,8
Dalane,26219,58.24364,8.00555,20995,−47,69,8
DallicanWater,3078,60.38736,-1.09648,11084,4787,80,6
Dalmutladdo,13388,69.166667,20.716667,10541,0,72,11
DarzlubieForest,14572,54.70555,18.16208,11547,72,80,13
Durchenbergried,23671,47.77416,8.98111,14847,197,498,50
EgelseebeiBadTolz,30968,47.8041666666667,11.6363888888889,15214,33,299,12
EgelseeMoor,28260,47.75,13.13833333,14556.82,476.79,121,8
Eipursbog,27645,57.2480555555556,24.6166666666667,10289.35,-30.19896,63,9
Feuenried,23667,47.74252,8.90401,18714,24,193,33
Flinkasjon,28889,56.2544444444444,13.2433333333333,11125,−50,109,10
FlogelnerHolz,27259,53.65389,8.77224,11415,50,139,10
Flotatjonn,26214,59.66874,7.54217,10468,−46,48,5
Frengstadsetra,3115,62.57327,10.12398,10545,2373,31,5
Fuschlsee,16654,47.8042,13.27474,11944,7,116,20
GallanechBeg,23781,56.384444,-5.501389,14614,14,142,15
Gammelheimenvatnet,26168,68.48221,17.75935,10328,−44,74,8
Gilltjarnen,28866,60.0833333333333,15.8333333333333,10412.14,-49.97366,101,8
GlaisinnaMarbh,10525,52.00517,-9.55768,11119,−41,32,5
Glaswaldsee,24240,48.42584,8.26188,10275,376,153,16
GlendaloughValley,11577,52.99702,-6.30615,19788,1848,150,10
Grasvatn,947,63.70186,8.69161,12529,1082,45,8
Grauthelleren,26220,58.14445,7.913611,17946,−47,70,9
GrosserTreppelsee,13332,52.13391,14.45794,12723,548,106,6
Grostjorna,26217,58.53704,7.73586,13301,5592,78,7
GroterWarder,27518,54.17131,10.41846,13332.67,0,52,6
Haugtjernet,26210,60.83329,10.87707,10911,−49,77,8
HerrenwieserSee,24247,48.66747,8.29643,11377,100,354,26
Hino,29180,57.583056,27.238611,11153,876,78,5
Hirvilampi,3145,60.62404,24.25122,12221,629,133,6
HockhamMere,3147,52.5,0.833333,15133,1510,163,23
Holebudalen,26216,59.841389,6.99337,11115,−46,94,7
Holtjarnen,14040,60.65141,14.92749,11446,2346,101,6
HornstaadHornle,24234,47.68985,9.01291,11968,235,860,25
Hureckaslat,14273,49.15026,13.33026,13334,−52,109,6
Isbenttjonn,26221,59.76425,7.43644,10530,−46,59,7
Jagen,27266,53.67106,8.71926,10420,520,138,15
Jasiel,3167,49.3705,21.8875,13306,76,47,6
Kaarkotinlampi,3177,61.41513,25.86881,10437,4,37,6
KalsaMire,1398,58.19142,27.41146,18449,−54,69,12
Kansjon,1401,57.64055,14.53458,16015,175,45,12
KellysLough,9591,52.95764,-6.42318,11281,−15,100,15
KingsPool,3194,52.80744,-2.10847,14936,7839,176,14
Kinnshaugen,26211,61.1078,10.36088,14980,−49,70,8
Kirchbichl,16660,47.511111,12.090278,12463,5066,69,6
Kirikumae,1484,57.68291,27.25128,18187,1158,89,6
KisMohosTo,26003,48.33691,20.42679,14529,−3,91,13
Kluki,3198,54.706944,17.284722,11240,−32,82,20
Krageholmssjon,3204,55.50078,13.74492,10974,−38,110,16
Kugelstattmoos,15715,48.95123,12.86098,13811,0,62,10
KundaArusoo,29106,59.4666666666667,26.5219444444444,10133,1350,63,9
Labskydul,15745,50.76186,15.5527,20440,805,79,17
Laihalampi,28072,61.4883333333333,26.0808333333333,10515.45,678.2609,150,6
LakeBabinskoye,26589,59.61457,28.61129,11523,117,50,10
LakeErmistu,3096,58.366667,23.966667,11058,2749,85,5
LakeFlafattjonna,13383,62.33017,10.40214,16000,−52,148,8
LakeFlarken,3107,58.55679,13.67319,12186,248,114,13
LakeHancza,14461,54.266667,22.816667,13183,4173,143,13
LakeHeimtjonna,28431,62.3236111111111,9.73833333333333,13744.44,148.5375,55,8
LakeKahala,26144,59.489444,25.538611,14548,30,68,13
LakeKharinei,26581,67.366667,62.75,11503,270,100,28
LakeKuzi,27648,57.03001,25.33857,10077.94,5717.105,84,5
LakeLednica,3231,52.54901,17.38084,10382,346,84,9
LakePastorskoye,26569,60.22891,30.04151,13982,7288,37,7
LakeRacze,14573,53.96802,14.60637,14631,211,89,10
LakeRuila,26143,59.175,24.431111,12784,0,46,14
LakeSambosjon,3398,57.16313,12.41426,11285,964,111,15
LakeSkaidejavri,24041,70.0476,27.85525,10448,−30,100,5
LakeSolso,3432,56.12781,8.61483,12417,7,66,34
LakeStoreFinnsjoen,28440,62.4,9.68333333333333,12781,1054,70,14
LakeSvartkalstjarn,28856,64.2666666666667,19.55,10013.2,-40.4,48,10
LakeSvityaz,28353,51.505,23.843,16791.24,−28,105,9
LakeTopptjonna,28412,62.3833333333333,9.66666666666667,15332.11,6382.421,93,12
LakeTsuolbmajavri,15733,68.68811,22.05346,9998,65,146,14
LakeVerijarv,26147,57.808333,27.058333,11540,0,172,10
LangesFennKemnitzerheide,14487,52.313611,12.913611,12874,−136,98,5
LaVie,3228,48.548333,-0.258333,18363,1605,49,6
Leckerpfuhl,31033,52.8666666666667,13.8886111111111,13876,1209,74,5
LeMaraisStBoetien,363,49.616667,3.816667,12185,752,30,6
Lembolovskoyelake,26572,60.3575,30.3133333333333,11593,325,58,38
LiivjarveBog,3236,59.30546,27.57509,10637,332,64,7
LillaGloppsjon,3234,59.8016666666667,14.6233333333333,11082,−11,86,11
Lindenmoos,16672,47.50844,12.04477,16335,624,68,6
LiptovskyJan,3166,49.041667,19.677778,13888,1000,100,6
Lisletjonn,26213,59.34237,7.30702,10413,−46,51,6
LitenCappesjavri,13476,71.07382,25.37327,13908,69,72,21
Litlvatnet,26167,68.52608,14.93306,12528,−44,51,6
LlynCororion,25957,53.19743,-4.10044,11079,49,156,11
LlynGwernan,23885,52.725556,-3.921389,17357,6832,66,7
LochanAnDruim,13483,58.4705,-4.684,15019,7654,65,7
LochaPhuinnd,24787,57.35101,-7.26831,14104,0,105,5
LochAshik,14506,57.25,-5.833333,12593,158,46,10
LochBuailavalBeag,24790,58.26443,-6.76943,13130,7009,79,5
LochClair,14499,57.558889,-5.343611,15679,379,101,7
LochCleat,14498,57.6225,-6.277778,12149,187,63,10
LochDoonIV,30638,55.2075,-4.38638888888889,10968,1519,111,8
LochMaree,3273,57.62279,-5.3257,10740,0,57,6
LochSionascaig,3413,58.055,-5.16,13613,327,148,7
Locmariaquer,3247,47.554444,-2.932222,9910,5846,34,5
Loddigsee,14556,53.433333,11.85,13425,−6,268,14
LoughMullaghlahan,23911,54.77481,-8.46732,14638,−2,117,6
LoughNabraddan,23919,55.0224,-8.3485,14346,−1,98,5
LyadhejTolake,16713,68.23682,65.80364,10592,174,72,20
MaboMoss,15711,58.02114,16.05602,15629,436,131,16
MalySuszek,14565,53.71617,17.77116,13806,−34,144,10
Masatjornet,26129,61.5625,10.267778,13549,−49,55,8
MirePelisoo,3505,58.466667,22.383333,10435,43,57,5
MireSaviku,26152,58.4,27.233333,12473,−41,74,14
MokreloukySouth,3289,48.99944,14.78083,10860,471,82,5
MorroneBirkwoods,3296,56.9975,-3.4325,14798,−25,34,10
Morttjern,26123,59.059722,11.617778,11765,−49,67,8
Mukkavaara,3302,68.916667,21,11827,1913,56,9
Mustjarvebog,26142,59.075,24.1,11656,0,142,8
Myrvatnet,25998,68.6586,16.38607,13364,−44,63,6
MyshetskoeDolgoe,26580,56.066667,37.333333,14539,−76,80,12
Niechorze,3315,54,15.05,13886,2783,52,9
NikolskoLutinskoyebog,26576,58.02083,31.35135,15442,141,78,54
Nizhneosinovskoyepeatbog,26566,60.68702,29.14831,13324,−71,65,37
NussbaumerSeen,23494,47.61335,8.83094,16000,0,175,11
OldenburgPriesterwiese,27502,54.29385,10.88231,11521,1085,161,12
OltushLake,3328,51.696667,23.956667,11566,409,42,8
OverGunnarsfjorden,13478,71.03753,28.17268,10201,−37,117,23
OverKobbkrokvatnet,13481,70.6989,29.29736,13492,42,69,20
Oygardstjonn,26212,59.62523,7.98838,12091,−47,55,7
PamerkiaiOutcrop,3342,54.3125,24.7311111111111,13734,4009,41,6
PannelBridge,23886,50.905833,0.675278,11665,299,143,8
Parika,26596,58.48888,25.77353,11571,66,47,8
Plesnejezero,14524,48.77426,13.86775,21704,26,67,5
Polsbroek,28513,51.98752,4.85584,8803,7530,36,7
PoteryannyZub,26561,68.82667,35.32822,11617,18,90,8
Prasilskejezero,26991,49.07402,13.40141,11361,−58,196,18
PrelucaTiganului,14560,47.80939,23.53061,14258,30,224,14
Probstenwerder,27519,54.21785,10.29035,11464.8,0,57,6
PusciznaRekowianska,3366,49.46655,19.8207,11424,8,76,8
RaigastvereLake,3369,58.59222,26.64967,11673,−17,116,11
RatasjCen,26127,62.266667,9.833333,11301,−44,68,8
Reiersdalvann,26218,58.32563,7.78879,11695,−47,92,7
Rezabinec,3377,49.24798,14.09693,11353,175,34,9
RoundLochofGlenhead,23803,55.09344,-4.43026,16293,−34,66,31
Ryonansuo,3389,60.43763,24.17983,10566,292,73,10
