Site_name,Site_id,Age,WA_Tjul,WAPLS_Tjul,MAT_Tjul,RF_Tjul,ERT_Tjul,BRT_Tjul,WA_Tjan,WAPLS_Tjan,MAT_Tjan,RF_Tjan,ERT_Tjan,BRT_Tjan,MinDist
AfstjCrna,26128,-49,13.99275786,13.27629542,10.14245508,11.95177,10.53986033,10.13261037,-7.440472911,-8.216079945,-10.60144584,-10.02960683,-10.522115,-10.33275544,0.3183046357
AfstjCrna,26128,68,11.14476169,10.81570096,9.248512252,10.28941033,10.51553833,10.0337047,-6.899514823,-7.666980352,-10.16479692,-8.631752333,-8.961214333,-8.099893933,7.553681485
AfstjCrna,26128,187,11.2458677,11.60766803,8.956835495,10.576709,10.90220133,10.45830303,-6.931992867,-6.850568304,-10.48025375,-9.027804667,-8.717907833,-8.440497714,5.065396453
AfstjCrna,26128,307,11.57319963,12.03794304,9.497766368,10.57842233,10.952098,10.11392508,-7.140584297,-7.885750977,-10.41356227,-8.6055675,-8.910299333,-8.754730347,5.424718421
AfstjCrna,26128,426,11.91934284,11.95564768,10.10464078,11.17699533,11.23924017,10.59514145,-5.536815878,-4.338159212,-9.587129215,-7.011116833,-6.660746167,-6.975186101,6.644620042
AfstjCrna,26128,546,11.71729173,12.35365038,9.890088637,11.32481883,11.41040033,10.78961037,-7.25975741,-8.487083619,-10.21475014,-7.716462,-7.918231,-7.887984404,7.70373478
AfstjCrna,26128,666,12.96047218,12.67925523,12.15774886,11.81053233,11.73441083,10.56308272,-6.876503945,-7.373667749,-7.634614365,-7.882487,-8.218711667,-7.97109213,6.423094332
AfstjCrna,26128,785,11.70768305,12.02923877,11.38176632,11.68183833,11.957116,10.63417003,-9.495883818,-10.00785397,-9.358431429,-8.644330833,-8.9765855,-9.501220939,4.966767823
AfstjCrna,26128,905,12.50414291,12.66304238,13.61902244,13.425212,13.35043417,12.8641538,-6.935763031,-8.083535715,-7.479736032,-8.5591525,-8.7040925,-7.80422724,6.323840426
AfstjCrna,26128,1024,11.40794885,11.83108578,12.39422145,11.2111335,11.248739,10.62975122,-7.62718363,-7.239407386,-8.164097139,-8.475464167,-8.860325,-8.954758589,7.41158381
AfstjCrna,26128,1144,11.97445377,11.93963796,9.869172079,10.45706833,11.21049983,10.44982497,-6.710232913,-7.119578675,-9.453783255,-8.677100333,-8.130949,-8.357419287,7.405748472
AfstjCrna,26128,1263,11.59919076,11.31109069,11.44812074,11.13306217,11.09817183,10.64477846,-6.56885499,-5.688527111,-8.059220608,-7.403043,-7.384908167,-6.477537698,8.042001477
AfstjCrna,26128,1383,12.20846036,12.08223942,11.66140839,12.029427,11.46345167,10.68743406,-6.836918043,-7.007579891,-7.992420921,-7.948913667,-7.844275833,-7.560007921,6.090406088
AfstjCrna,26128,1540,12.81563702,12.94733851,11.22560084,12.350885,11.93363683,11.35272667,-6.708470955,-7.778969474,-8.2242072,-8.141622167,-7.620343833,-6.087888891,5.140832286
AfstjCrna,26128,1721,14.00031024,13.65102422,12.0339529,12.947015,13.14946317,11.72595182,-5.512686804,-6.050761527,-6.86241229,-7.8663675,-7.1641215,-7.097689318,7.228107761
AfstjCrna,26128,1991,12.06621097,12.38861856,11.6457796,12.90814483,12.7838225,12.26027688,-7.165594014,-7.596266696,-7.82499987,-7.004121667,-7.944326167,-7.267049557,6.532263783
AfstjCrna,26128,2352,14.73413787,14.29354266,13.17283765,15.25229133,14.43463917,14.8123931,-6.947055888,-7.475199727,-7.129271461,-6.943214333,-7.028580333,-6.672826372,7.385995132
AfstjCrna,26128,2713,11.3672761,12.29324658,10.97652521,12.54649133,12.40914717,12.20360583,-7.268320711,-8.006250734,-8.365070537,-7.198602667,-7.6613905,-6.206914419,7.356779291
AfstjCrna,26128,3081,12.44080484,13.30650373,12.07572758,12.59823167,12.62397867,12.289947,-6.796763698,-6.046959072,-8.435761873,-6.168492167,-6.984793333,-6.395013166,7.97411802
AfstjCrna,26128,3458,11.71051608,12.28745351,12.20266459,12.61194133,12.526003,12.52145506,-6.764617984,-6.383655788,-7.132799539,-5.086482667,-6.3971855,-4.126422567,7.762811045
AfstjCrna,26128,3834,11.93425758,12.34560474,11.68415416,12.48829983,12.25708967,11.24000303,-6.803740389,-5.182973681,-8.279157002,-6.031285333,-6.780962333,-5.974017421,7.869979992
AfstjCrna,26128,4210,14.87561181,14.40958318,14.39608858,14.739479,14.46358683,15.59825806,-6.601231051,-5.644928576,-7.682023038,-5.810685833,-6.8247365,-5.568373156,10.78319746
AfstjCrna,26128,4586,12.22397002,12.77723962,13.13509183,13.19178317,13.42382033,13.34479166,-6.682510819,-4.91563248,-5.592781045,-5.860899333,-6.2036725,-4.406096999,10.75888883
AfstjCrna,26128,4895,12.94092594,13.23147371,13.48440603,13.1158505,13.19423117,13.52869468,-5.966125474,-4.235000013,-4.381437534,-5.831077333,-6.404966833,-5.312604259,11.55822768
AfstjCrna,26128,5165,14.6416547,14.103138,13.77351617,14.62789567,14.20693067,15.18133918,-6.306656215,-4.638768132,-3.149967867,-5.300422833,-6.371308833,-5.556443817,10.30016984
AfstjCrna,26128,5434,13.70680069,13.80054434,13.63722161,13.77741267,13.37638983,14.32489259,-6.869524649,-6.330380998,-4.55630947,-7.220386333,-8.3548495,-5.455116009,7.483806996
AfstjCrna,26128,5703,12.66067927,13.06926812,13.00900539,13.98361083,13.120742,14.11276465,-6.957077639,-6.367854445,-5.473019537,-5.951209167,-6.9882535,-4.806880631,6.758185219
AfstjCrna,26128,5972,14.00406776,13.89748893,13.88940423,13.956464,13.51159033,14.31047624,-6.759241253,-6.179366488,-4.773820721,-6.624899167,-6.9093515,-5.561625601,8.797982059
AfstjCrna,26128,6265,14.58869199,14.43808504,13.17760105,14.07200017,14.11332433,15.30010778,-6.564663789,-5.120932439,-3.393446422,-5.993958667,-7.110959833,-4.83139325,10.30986728
AfstjCrna,26128,6581,14.31986001,14.32030558,14.07925576,15.0754685,14.7873205,15.74006748,-6.525323088,-4.596213637,-4.967931265,-6.5854615,-6.779801667,-5.151824338,8.082011316
AfstjCrna,26128,6897,13.94359466,14.26457597,14.23135283,13.550237,14.22965533,13.50148845,-6.418753378,-4.142267947,-4.774743551,-6.300178167,-6.909817667,-5.968667478,8.655720452
AfstjCrna,26128,7213,14.59860956,14.65263767,14.6256456,14.58055817,14.725067,15.13372896,-6.703143193,-4.708986596,-3.497388774,-6.0146135,-6.8247675,-3.292353053,11.87498444
AfstjCrna,26128,7530,15.03667876,15.5193328,15.93154023,14.85759983,14.87173017,16.03700434,-6.327146867,-4.164583809,-5.316773839,-5.1344965,-6.172941,-4.505071397,11.59032243
AfstjCrna,26128,7869,11.79222464,12.99910772,15.74486385,13.3592775,13.32268967,13.4409792,-6.802536821,-4.526137525,-7.132159197,-4.180944,-5.759535167,-3.252258975,7.455378245
AfstjCrna,26128,8141,14.84435179,14.66822288,15.78097995,14.64683117,14.89857667,15.67355745,-6.655005963,-4.959138808,-7.115670218,-4.742885333,-6.1163295,-4.948886482,9.044559276
AfstjCrna,26128,8594,14.90355708,14.72040448,15.45435253,15.027111,14.89016183,15.49551063,-6.704331962,-6.090689905,-8.030463439,-6.076289667,-7.081395,-5.844059971,9.713271066
AfstjCrna,26128,8956,12.24725699,13.34785431,15.32971831,13.32310667,13.45767383,13.82080559,-6.77926473,-5.283788493,-5.201449723,-7.236954333,-6.927047833,-5.58377051,10.97771221
AfstjCrna,26128,9138,14.80480402,14.648209,15.91776628,15.04220617,14.83839683,15.41913082,-7.095539291,-6.821904759,-6.585365748,-6.3627055,-6.6821185,-3.77892041,10.47376209
AfstjCrna,26128,9319,13.80135851,13.58663309,14.26875313,14.68738883,14.5414005,14.79674087,-8.096672718,-6.92050516,-10.19358507,-5.492182333,-6.314984667,-2.73310445,10.14925388
AfstjCrna,26128,9500,13.75606711,13.53841163,14.47613776,14.35594883,14.31926667,15.15751786,-8.012987682,-7.657035228,-9.190015805,-5.192594833,-7.055245667,-4.732524827,10.17980202
AfstjCrna,26128,9704,14.2358876,14.0967578,13.62893353,13.9125535,13.70471033,14.17358403,-7.127396628,-6.653799464,-14.87297298,-5.743804667,-8.0480665,-6.22341906,8.740418035
AfstjCrna,26128,9932,13.66764128,13.76688337,13.53688423,13.93611833,13.49177617,13.79203632,-7.819513918,-8.538941242,-14.9081556,-5.455475667,-8.1833485,-6.477272512,6.631901185
AfstjCrna,26128,10159,11.53938294,12.28495223,12.99081781,12.4942705,12.85746567,11.66046552,-9.24422368,-9.627963995,-14.21389807,-6.773548333,-7.984180167,-8.184828003,6.389190987
AfstjCrna,26128,10386,14.10629263,14.27578325,13.60535683,13.59617917,13.60239467,13.64258482,-8.307409425,-8.978370786,-15.00280148,-5.839213667,-7.731666167,-7.50199216,7.967378952
AfstjCrna,26128,10613,13.25820521,13.35195763,13.40570371,13.168097,12.8434825,12.7902953,-9.85499156,-9.153501988,-15.19378412,-7.743288333,-9.121707167,-10.22085048,7.683261351
