"Age","WA_Tjul","WAPLS_Tjul","MAT_Tjul","RF_Tjul","ERT_Tjul","BRT_Tjul","WA_Tjan","WAPLS_Tjan","MAT_Tjan","RF_Tjan","ERT_Tjan","BRT_Tjan","MinDist"
-49,13.99275786449,13.2762954215168,10.1424550781264,11.95177,10.5398603333333,10.1326103681752,-7.44047291099612,-8.21607994450793,-10.601445838428,-10.0296068333333,-10.522115,-10.3327554389599,0.3183046357404
68,11.1447616889175,10.8157009563302,9.2485122523785,10.2894103333333,10.5155383333333,10.0337047024926,-6.8995148231767,-7.66698035169449,-10.164796923582,-8.63175233333333,-8.96121433333334,-8.0998939326461,7.55368148498993
187,11.2458676976182,11.6076680254233,8.95683549485615,10.576709,10.9022013333333,10.4583030313298,-6.93199286670517,-6.85056830377007,-10.4802537541785,-9.02780466666667,-8.71790783333334,-8.44049771433488,5.06539645250267
307,11.5731996320773,12.0379430431672,9.49776636775244,10.5784223333333,10.952098,10.1139250846912,-7.14058429683002,-7.88575097747576,-10.4135622749811,-8.6055675,-8.91029933333333,-8.75473034660481,5.42471842099159
426,11.9193428360712,11.9556476807483,10.1046407776356,11.1769953333333,11.2392401666667,10.5951414464546,-5.53681587778985,-4.33815921238239,-9.58712921459174,-7.01111683333333,-6.66074616666667,-6.97518610120858,6.64462004167324
546,11.7172917288096,12.3536503771587,9.89008863717054,11.3248188333333,11.4104003333333,10.7896103651179,-7.2597574102476,-8.48708361885952,-10.2147501426211,-7.716462,-7.91823100000001,-7.88798440360527,7.70373478017078
666,12.9604721763358,12.6792552336666,12.157748856737,11.8105323333333,11.7344108333333,10.5630827236182,-6.87650394474421,-7.37366774949976,-7.63461436499988,-7.882487,-8.21871166666667,-7.97109212964418,6.42309433207756
785,11.7076830537791,12.0292387747319,11.3817663238703,11.6818383333333,11.957116,10.6341700343285,-9.49588381811848,-10.0078539695003,-9.35843142932651,-8.64433083333333,-8.9765855,-9.50122093891679,4.96676782269118
905,12.5041429119956,12.6630423790036,13.6190224449248,13.425212,13.3504341666667,12.8641537957731,-6.93576303119187,-8.08353571515803,-7.47973603228849,-8.5591525,-8.7040925,-7.80422723958744,6.32384042570698
1024,11.4079488463271,11.8310857788481,12.3942214521494,11.2111335,11.248739,10.6297512231431,-7.62718362997798,-7.23940738586958,-8.16409713861461,-8.47546416666667,-8.860325,-8.95475858908284,7.41158380976651
1144,11.9744537695778,11.9396379569838,9.86917207886334,10.4570683333333,11.2104998333333,10.4498249682495,-6.71023291338424,-7.11957867545766,-9.45378325460211,-8.67710033333333,-8.130949,-8.35741928726567,7.40574847174042
1263,11.5991907649195,11.3110906937165,11.4481207427061,11.1330621666667,11.0981718333333,10.6447784576277,-6.56885498970145,-5.68852711128042,-8.05922060782385,-7.403043,-7.38490816666668,-6.47753769822244,8.04200147655555
1383,12.2084603614516,12.0822394184824,11.6614083923411,12.029427,11.4634516666667,10.6874340628069,-6.83691804299304,-7.00757989067663,-7.99242092079447,-7.94891366666667,-7.84427583333334,-7.56000792086098,6.09040608803522
1540,12.8156370227642,12.947338507229,11.2256008421867,12.350885,11.9336368333333,11.3527266678821,-6.70847095524343,-7.77896947427846,-8.22420720013173,-8.14162216666667,-7.62034383333333,-6.08788889088908,5.14083228574222
